Date,Title,Content,Label
01-10-2023,"Prediksi Skor Atalanta vs Juventus: Head to Head, Susunan Pemain","Bisnis.com, SOLO - Duel Atalanta vs Juventus akan tersaji dalam lanjutan Liga Italia 2023-2024. Prediksi skor mengunggulkan Juventus meraih kemenangan.
Juventus akan bertandang ke markas Atalanta dalam giornata ketujuh Liga Italia 2023-2024, Minggu (1/10/2023) malam.
La Vecchia Signora kini tertinggal lima angka dari pemuncak klasemen setelah duo Milan meraih kemenangan pekan ini.
Maka dari itu, mau tak mau Juventus wajib menang untuk memangkas defisit poin dari tim di atasnya.
Laga Atalanta lawan Juventus merupakan duel penting karena kedua tim berada di posisi yang berdekatan dalam tabel klasemen Liga Italia 2023-2024.
Juventus menduduki peringkat keempat dengan 13 poin, sedangkan Atalanta tepat di bawahnya dengan 12 angka.
Baca Juga
Pertandingan melawan La Dea ini penting untuk menjaga kans Juventus bersaing di papan atas dan menembus posisi empat besar.
Namun Atalanta bukanlah lawan yang akan mudah bisa ditaklukkan Juventus. Pasukan Gian Piero Gasperini justru bisa memberikan perlawanan hingga membuat Juventus pulang dengan tanpa poin.
Hingga pekan keenam Liga Italia 2023-2024, Atalanta meraih empat kemenangan dan mengalami dua kekalahan.
Empat kemenangan itu dua di antaranya diraih secara beruntun melawan Cagliari dan Hellas Verona.
Rapor Atalanta melawan Juventus sejak di asuh pelatih 65 tahun itu juga terbilang cukup baik.
Sejak 2016-2017 Atalanta hanya mengalami empat kekalahan dari 14 pertandingan melawan Juventus di Liga Italia. Adapun 10 laga lainnya berakhir dengan dua kemenangan dan delapan kali imbang.
Atalanta selalu meraih kemenangan dalam empat laga kandang terakhir di Liga Italia. La Dea pernah mencatat rapor yang lebih baik sebanyak dua kali yaitu tujuh kemenangan kandang beruntun Februari-Juli 2020 dan Februari-Mei 2021.
Atalanta akan kembali mengandalkan Ademola Lookman untuk membongkar pertahanan Juventus. Eks pemain Fulham ini mencetak dua gol saat melawan Juventus, pada 22 Januari lalu di Liga Italia.
Selain mencetak dua gol di laga tersebut, bintang asal Nigeria ini juga memberikan assist dalam pertandingan yang berakhir imbang 3-3 itu.
Sementara itu, Juventus akan kembali berharap kepada Dusan Vlahovic. Sepanjang kiprahnya di Liga Italia, Dusan Vlahovic telah menjaringkan lima gol ke gawang Atalanta.
Juventus juga sedang dalam tren positif setelah kemenangan 1-0 atas Lecce pada tengah pekan lalu.
Atalanta: La Dea tidak dapat menurunkan El Bilal Toure dan Gianluca Scamacca yang masih mengalami cedera.
Gian Piero Gasperini akan kembali menempatkan Davide Zappacosta dan Charles De Ketelaere sebagai starter.
Juventus: Mattia De Sciglio dan Alex Sandro absen karena cedera, Paul Pogba harus menjalani sanksi karena kasus doping.
Massimiliano Allegri akan menurunkan kembali Dusan Vlahovic setelah sang pemain diistirahatkan pekan lalu.
Atalanta (3-4-1-2): Marco Carnesecchi; Rafael Toloi, Giorgio Scalvini, Sead Kolasinac; Davide Zappacosta, Marten de Roon, Ederson, Matteo Ruggeri; Teun Koopmeiners; Ademola Lookman, Charles De Ketelaere.
Pelatih: Gian Piero Gasperini
Juventus (3-5-2): Wojciech Szczesny; Daniele Rugani, Gleison Bremer, Danilo; Weston McKennie, Nicolo Fagioli, Manuel Locatelli, Adrien Rabiot, Andrea Cambiasso; Dusan Vlahovic, Federico Chiesa.
Pelatih: Massimiliano Allegri
Meski berstatus tim tamu, Juventus lebih diunggulkan untuk memetik tiga angka, atau minimal menahan imbang Atalanta. Motivasi setelah menang lawan Lecce pekan lalu menjadi faktor pendukung.
Prediksi:
Cek Berita dan Artikel yang lain di Google
                                News",Sport
01-10-2023,Hasil Drawing dan Jadwal Bulu Tangkis Asian Games 2023: 5 Wakil Dapat Bye,"Bisnis.com, SOLO - Hasil drawing dan jadwal bulu tangkis Asian Games 2023 memainkan 10 wakil Indonesia di nomor perorangan.
Nomor perorangan cabang olahraga (cabor) bulu tangkis Asian Games 2023 akan bergulir mulai besok, Senin (2/10/2023).
Indonesia menurunkan 10 wakil di nomor perorangan, yang terbagi dalam lima sektor tunggal maupun ganda.
Anthony Sinisuka Ginting dan Jonatan Christie menjadi wakil di nomor tunggal putra. Mengingat Ginting dan Jojo masuk daftar unggulan, kedua pemain itu mendapat bye alias langsung melaju ke babak selanjutnya.
Pun demikian dengan dua tunggal putri Indonesia, Gregoria Mariska Tunjung dan Putri Kusuma Wardani.
Kedua pemain itu juga mendapat bye dan akan bertarung mulai putaran kedua alias babak 32 besar Asian Games 2023.
Baca Juga
Di sektor ganda putra, hanya Fajar Alfian/Muhammad Rian Ardianto yang mendapat bye.
Sementara Leo Rolly Carnando/Daniel Marthin akan bersua wakil Makau, Leong Lok Chong/Vong Kok Weng.
Beralih ke ganda putri, Apriyani Rahayu/Siti Fadia Silva Ramadhanti melawan Lui Lok Lok/Ng Wing Yung asal Hong Kong.
Febriana Dwipuji Kusuma/Amalia Cahaya Pratiwi bakal bersua ganda putri Nepal, Rasila Maharjan/Anu Maya Rai.
Terakhir dari sektor ganda campuran, Rinov Rivaldy/Pitha Haningtyas Mentari menghadapi pemain Korea Selatan, Kim Won Ho/Jeong Na Eun.
Rehan Naufal Kusharjanto/Lisa Ayu Kusumawati berhadapan dengan atlet Chinese Taipei, Ye Hong Wei/Lee Chia Hsin.
Cek Berita dan Artikel yang lain di Google
                                News",Sport
01-10-2023,"Naik Podium MotoGP Setelah Setahun Absen, Marc Marquez: Rasanya Luar Biasa!","Bisnis.com, JAKARTA - Pembalap Repsol Honda, Marc Marquez, kembali merasakan naik podium setelah berhasil finis di urutan ketiga dalam balapan utama MotoGP Jepang 2023 di Sirkuit Motegi pada Minggu (1/10/2023).
Pada MotoGP Jepang 2023 ini, The Baby Alien hanya kalah dari pembalap Prima Pramac Racing Ducati Jorge Martin dan pembalap Ducati Lenovo Francesco ""Pecco"" Bagnaia yang berada di posisi pertama dan kedua.
Marquez mengaku sangat senang kembali naik ke podium MotoGP. Terlebih, dirinya naik podium di series Jepang yang merupakan homebase dari pabrikan motor Honda, tunggangannya.
""Rasanya luar biasa bisa kembali naik podium setelah sekian lama, dan melakukannya di sini, di Motegi, di rumah Honda, dengan banyaknya penggemar dan orang-orang Honda di sini, sejujurnya itu cukup romantis,"" kata Marc Marquez melansir dari laman resmi Repsol Honda, Minggu (1/10/2023).
Mengawali balapan dari dengan cuaca yang diguyur hujan deras, Marquez menyebut bahwa dirinya tetap tenang dan berhati-hati untuk menyelesaikan perlombaan dengan baik.
Marquez pun mengatakan bahwa dirinya sangat menikmati balapan dan akhirnya berhasil mengamankan posisi ketiga dalam balapan di Sirkuit Motegi, Jepang.
Baca Juga
""Saya merasa sangat baik dengan kecepatan saya dan saya pikir kami bisa mendapatkan akhir balapan yang menarik,"" ucapnya.
Lebih lanjut, pembalap asal Spanyol ini mengucapkan rasa syukurnya dengan berterima kasih kepada semua orang yang tidak pernah menyerah membantunya, terkhusus tim Repsol Honda.
Apalagi, Marquez memang sedang dalam kondisi yang tidak stabil salam MotoGP 2023 dan podium ini merupakan podium pertamanya sejak Oktober 2022.
""Podium ini adalah apa yang kami cari sepanjang tahun dan ini merupakan dorongan yang bagus untuk upaya terakhir di tahun 2023,"" ujar Marquez.
1. Jorge Martin - Prima Pramac Racing - Ducati 
2. Pecco Bagnaia - Ducati Lenovo Team - Ducati 
3. Marc Marquez - Repsol Honda - Honda 
4. Marco Bezzecchi - Mooney VR46 Racing Team - Ducati 
5. Aleix Espargaro - Aprilia Racing - Aprilia 
6. Jack Miller - Red Bull KTM Factory Racing - KTM 
7. Augusto Fernandez - GASGAS Factory Racing Tech 3 - GASGAS 
8. Fabio di Giannantonio - Gresini Racing - Ducati 
9. Raul Fernandez - CryptoDATA RNF - Aprilia 
10. Fabio Quartararo - Monster Energy Yamaha - Yamaha 
11. Takaaki Nakagami - LCR Honda Idemitsu - Honda 
12. Joan Mir - Repsol Honda - Honda
 13. Cal Crutchlow - Yamalube RS4GP Racing Team - Yamaha 
14. Stefan Bradl - Team HRC - Honda 
15. Pol Espargaro - GASGAS Factory Racing Tech 3 - GASGAS 
16. Michele Pirro - Ducati Lenovo Team - Ducati
 17. Franco Morbidelli - Monster Energy Yamaha - Yamaha
Cek Berita dan Artikel yang lain di Google
                                News",Sport
01-10-2023,"Prediksi Skor Persib vs Persita: Head to Head, Susunan Pemain","Bisnis.com, SOLO - Persib vs Persita akan menjadi duel penutup pekan ke-14 Liga 1 2023-2024. Prediksi skor lebih menjagokan Persib meraih kemenangan.
Persib Bandung akan menjamu Persita Tangerang dalam partai penutup pekan ke-14 Liga 1 2023-2024 di Stadion Gelora Bandung Lautan Api (GBLA), Minggu (1/10/2023) malam.
Laga ini diprediksi menjadi tantangan sulit bagi tim tamu untuk mempertahankan tren positif yang baru saja diraih.
Pendekar Cisadane, julukan Persita, mencatatkan kemenangan 1-0 dalam Derby Tangerang menghadapi Dewa United FC pada pekan lalu.
Duel kandang itu memutus rangkaian hasil negatif gagal meraih kemenangan dalam delapan laga, enam di antaranya berakhir dengan kekalahan.
Namun kini mereka sudah harus bermain tandang melawan Persib yang sedang dalam kondisi on fire.
Baca Juga
Tim berjuluk Pangeran Biru itu tidak terkalahkan dalam lima pertandingan terakhir, dengan empat di antaranya meraih kemenangan.
Selain itu dua pemain asing Persib yang sebelumnya mengalami masalah sudah bisa diandalkan sejak awal yaitu Ciro Alves dan Alberto Rodriguez.
Meski begitu ada beberapa pemain lokal yang belum bisa dimainkan seperti Beckham Putra, Kakang Rudianto, Zalnando, Febri Hariyadi, dan Reky Rahayu.
Persib Bandung (4-3-3): Teja Paku Alam; Putu Gede, Alberto Rodriguez, Nick Kuipers, Daisuke Sato; Marc Klok, Rachmat Irianto, Levy Madinda; Frets Butuan, David da Silva, Ciro Alves.
Pelatih: Bojan Hodak
Persita Tangerang (4-2-3-1): Rendy Oscario; Muhammad Toha, Christian Rontini, Javlon Guseynov, Mario Jardel; Bae Sin-young, Fahreza Sudin; Hanis Saghara, Ezequiel Vidal, Esal Sahrul; Ramiro Fegonzi.
Pelatih: Divaldo Alves
Persib Bandung diprediksi memetik kemenangan pada laga ini. Momentum positif sedang digenggam anak asuh Bojan Hodak, ditambah lagi mereka akan bermain di hadapan bobotoh pendukung setia mereka.
Prediksi:
Cek Berita dan Artikel yang lain di Google
                                News",Sport
01-10-2023,"Prediksi Persib vs Persita, Pelatih Minta Maung Bandung Tak Jemawa","Bisnis.com, JAKARTA - Jelang Persib vs Persita, pelatih Maung Bandung Bojan Hodak minta pasukannya tak jemawa.
Persib Bandung akan menjamu Persita Tangerang pada pekan ke-14 Liga 1 2023-2024 di Gelora Bandung Lautan Api (GBLA), Minggu (1/10/2023) malam.
Melawan Persita, Maung Bandung difavoritkan dapat mengemas poin penuh setelah enam pertandingan sebelumnya mereka tidak terkalahkan hingga mampu merangkak naik ke posisi lima besar klasemen Liga 1.
Adapun Persita Tangerang menempati posisi 15 klasemen sementara. Pendekar Cisadane sempat kesulitan menang, namun mereka berhasil mengakhiri puasa kemenangan usai mengalahkan Dewa United dengan skor 1-0 pekan lalu.
Melihat hal ini, pelatih Persib Bojan Hodak menginstruksikan pemainnya untuk berhati-hati dan tak jemawa. Dia menekankan bahwa Persib tak boleh kehilangan poin di kandang sendiri.
""Kami sekarang ada di posisi lima dan Persita ada di 15 klasemen, jadi kami menjadi favorit pada pertandingan ini. Tetapi melihat jarak poinnya sangat kompetitif, kami harus berhati-hati karena apapun bisa saja terjadi,"" kata Bojan Hodak dikutip dari laman Liga 1, Minggu (1/10/2023).
Baca Juga
Lebih lanjut, Bojan Hodak tak mau timnya menganggap remeh lawan. Terlebih lagi Persita mencatat clean sheet dalam dua laga terakhir saat menahan imbang Arema FC (0-0) dan menang lawan Dewa United (1-0).
Bojan pun sangat mengawasi momen kebangkitan Pendekar Cisadane saat berlaga kontra anak asuhnya pada laga malam nanti.
""Pertandingan yang sulit, Persita dalam empat pertandingan terakhir bermain dengan bagus, lalu pada dua pertandingan mereka tidak kebobolan. Mereka menang melawan Dewa United (1-0) dan bermain imbang melawan Arema FC (0-0). Mereka lawan yang berat,"" ucapnya.
Persib saat ini sedang mengincar posisi empat besar. Jika pada laga malam nanti mereka mampu memenangi laga kontra Persita, Maung Bandung akan melampaui poin RANS Nusantara FC di tabel klasemen sementara.
Persib Bandung (4-3-3): Teja Paku Alam; Putu Gede, Nick Kuipers, Alberto Rodriguez, Daisuke Sato; Dedi Kusnandar, Marc Klok, Levy Madinda; Edo Febriansah, Ciro Alves, David da Silva. 
Pelatih: Bojan Hodak
Persita Tangerang (4-3-3): Rendy Oscario; Muhammad Toha, Javlon Guseynov, Christian Rontini, Mario Jardel; Bae Sin-yeong, Mateo Bustos, Ezequiel Vidal; Hanis Sagara, Esal Sahrul, Ramiro Fergonzi. 
Pelatih: Divaldo Alves
Cek Berita dan Artikel yang lain di Google
                                News",Sport
01-10-2023,"Prediksi Fulham vs Chelsea, The Blues Tanpa Ben Chilwell","Bisnis.com, JAKARTA - Chelsea akan bertandang ke markas Fulham tanpa kehadiran fullback kiri, Ben Chilwell, yang mengalami cedera.
Chelsea akan menjamu Fulham dalam laga lanjutan Liga Inggris di Craven Cottage, Senin (2/10/2023) dini hari.
Pelatih Chelsea Mauricio Pochettino mengatakan bahwa timnnya akan kehilangan Ben Chilwell yang terkena cedera pasca kemenangan atas Brighton & Hove Albion di putaran ketiga Carabao Cup.
Chilwell sendiri tampak tertatih menjelang menit akhir saat timnnya sudah unggul 1-0 atas Brighton. Cedera yang dialami pemain Inggris ini membuat Pochettino harus putar kepala untuk mencari pengganti.
""Dari apa yang dokter katakan kepada saya, itu bukan hal yang baik, sepertinya cederanya parah, tapi kami perlu melakukan penilaian dalam beberapa hari ke depan dan kita akan melihat periode dia akan absen dari skuad dan tim,"" kata Mauricio Pochettino dilansir dari laman resmi, Minggu (1/10/2023).
Selain harus putar otak, eks pelatih Paris Saint-Germain ini mengaku cukup kecewa dengan absennnya Chilwell pada laga dini hari nanti.
Baca Juga
Pasalnya, Chilwell menjadi salah satu andalan Pochettino untuk memperbaiki posisi Chelsea di klasemen sementara Liga Inggris.
""Kami sangat kecewa, sangat sedih, karena dia bermain sangat bagus. Kami berbicara banyak selama beberapa minggu terakhir mengenai hal-hal yang perlu diperbaiki,"" ucapnya.
Meski kehilangan Chilwell, Pochettino mengatakan ada kabar gembira dari pusat perawatan di Cobham, markas Chelsea.
Carney Chukwuemeka dan Noni Madueke akan kembali bertanding di Craven Cottage setelah mereka absen setelah jeda internasional.
""Kami berharap mungkin Carney akan kembali, dan tentu saja Noni juga setelah cederanya saat kembali dari tim nasional. Dia bersiap-siap, dia bekerja keras. Kami berharap kedua pemain ini dapat pulih pada hari Senin,"" ujar Pochettino.
Fulham (4-3-3): Bernd Leno; Kenny Tete, Issa Diop, Tim Ream, Antonee Robinson; Sasa Lukic, Harrison Reed, Andreas Pereira; Harry Wilson, Bobby De Cordova-Reid, Raul Jimenez.
Pelatih: Marco Silva
Chelsea (4-2-3-1): Robert Sanchez; Malo Gusto, Axel Disasi, Thiago Silva, Levi Colwill; Conor Gallagher, Moises Caicedo; Raheem Sterling, Enzo Fernandez, Mykhailo Mudryk; Nicolas Jackson.
Pelatih: Mauricio Pochettino
Cek Berita dan Artikel yang lain di Google
                                News",Sport
01-10-2023,Hasil MotoGP Jepang 2023: Marc Marquez Raih Podium Pertama Tahun Ini,"Bisnis.com, SOLO - Hasil MotoGP Jepang 2023 menempatkan Marc Marquez dalam podium pertamanya pada tahun ini. Jorge Martin jadi juara.
Balapan utama MotoGP Jepang 2023 digelar di Sirkuit Motegi pada Minggu (1/10/2023).
Balapan yang digelar dalam situasi hujan tersebut dilangsungkan flag-to-flag, alias balapan yang dimulai dalam kondisi kering lalu jadi basah.
Marc Marquez meraih podiumnya yang pertama tahun ini di MotoGP Jepang 2023. Pembalap asal Spanyol itu sudah tak pernah naik podium sejak seri MotoGP Australia 2022.
Pembalap Prima Pramac Racing Ducati, Jorge Martin, keluar sebagai pemenang MotoGP Jepang dengan catatan waktu 24:06.314.
Dia mengungguli pembalap Ducati Lenovo Francesco ""Pecco"" Bagnaia yang mencatat +1.413 di belakang Martin.
Baca Juga
Marquez menguntit di urutan ketiga dengan +2.013, disusul Marco Bezzecchi (+2.943) dan Aleix Espargaro (+3.181).
Cek Berita dan Artikel yang lain di Google
                                News",Sport
01-10-2023,"Prediksi Skor Madura United vs Borneo FC: Head to Head, Susunan Pemain","Bisnis.com, SOLO - Laga Madura United vs Borneo FC digelar dalam lanjutan Liga 1 2023-2024. Prediksi skor mengunggulkan Madura United untuk memetik tiga angka.
Madura United akan menjamu Borneo FC di Stadion Gelora Ratu Pamelingan, Pamekasan, pada Minggu (1/10/2023) pukul 15.00 WIB.
Laga Madura United vs Borneo FC menjadi duel dua tim teratas di tabel klasemen sementara. Madura United tak terkalahkan dalam enam pertandingan terakhir.
Namun, Laskar Sapeh Kerrab mesti tertahan imbang di markas PSS Sleman pekan lalu.
Mereka ingin segera kembali ke jalur kemenangan demi mengamankan puncak klasemen.
Di kubu tim tamu, Borneo FC menuai dua kemenangan beruntun dan hanya terpaut dua poin saja dari Madura United.
Baca Juga
Artinya, jika mampu menjungkalkan Madura United sore ini, pasukan Pesut Etam dipastikan menjadi pemuncak klasemen Liga 1.
Hal itu bukan misi yang mustahil, mengingat terakhir kali Borneo FC melawat ke kandang Madura United pada Maret lalu, mereka berhasil menang 1-0.
Madura United memang punya sejarah kurang baik saat menghadapi Borneo FC. Dalam lima pertandingan terakhir di Liga 1, mereka cuma bisa menang sekali dan tiga kali kalah.
Madura United akan mengandalkan kreativitas duo Francisco Rivera dan Jaja, ditambah ketajaman Junior Brandao di lini depan.
Borneo FC, di sisi lain, tak mau terbebani target merebut puncak klasemen. Pelatih Pieter Huistra hanya meminta para pemainnya mempertahankan tren positif yang sedang dilalui.
Usai menghajar PSS Sleman dan PSM Makassar, tentu akan menggembirakan jika Stefano Lilipaly dan kawan-kawan lanjut menyikat Madura United.
Borneo FC memperlihatkan perkembangan dalam sisi bertahan, dengan catatan cleansheet dalam dua laga terakhir.
Namun, duet bek tengah Silverio Silva dan Leo Lelis tentu harus waspada dari gempuran pilar-pilar Madura United.
Madura United (4-3-3): Wawan Hendrawan; Novan Sasongko, Fachruddin Aryanto, Cleberson, Koko Ari; Francisco Rivera, Jacob Mahler, Jaja; Malik Risaldi, Junior Brandao, Lulinha.
Pelatih: Mauricio Souza
Borneo FC (4-2-3-1): Nadeo Argawinata; Fajar Fathur Rahman, Silverio Silva, Leo Lelis, Leo Guntara; Kei Hirose, Adam Alis; Terens Puhiri, Stefano Lilipaly, Win Naing Tun; Felipe Cadenazzi.
Pelatih: Pieter Huistra
Kedua tim punya kekuatan yang berimbang ditambah materi pemain yang sama bagusnya. Meski Madura United sedikit diunggulkan karena bermain di hadapan pendukung sendiri, laga ini juga berpeluang besar berakhir imbang.
Prediksi:
Cek Berita dan Artikel yang lain di Google
                                News",Sport
01-10-2023,Klasemen Medali Asian Games 2023 Hari Ini: Indonesia Lewati Malaysia,"Bisnis.com, SOLO - Klasemen medali Asian Games 2023 kembali berubah, Indonesia naik ke-10 besar berkat tambahan satu emas.
Indonesia mencatat emas keempat di Asian Games 2023 melalui cabang olahraga (cabor) BMX, Minggu (1/10/2023).
Bertanding di Chun'an Jieshou Sports Centre BMX Course, China, Amellya Nur Sifa menjadi juara dan berhak atas medali emas.
Amellya membukukan waktu 44,065 detik pada heat pertama, kemudian 43,290 pada heat kedua, dan 43,918 detik pada heat ketiga,
Yang lebih istimewa, rekan senegara Amellya, Jasmine Azzahra Setyobudi, finis ketiga dengan catatan waktu 45,244 detik pada heat pertama, 43,551 detik pada heat kedua, dan 43,956 detik pada heat terakhir.
Adapun medali perak diraih atlet tuan rumah, Quanquan Gu yang membukukan waktu 42,483 detik, 41,827 detik, 45,964 detik.
Baca Juga
Tambahan dua medali dari cabor BMX itu membuat Indonesia mengoleksi 4 emas, 3 perak, dan 11 perunggu.
Indonesia pun kembali masuk ke-10 besar setelah sempat terlempar keluar pada Sabtu (30/9/2023).
Merah Putih menyalip Malaysia yang mengumpulkan 3 emas, 3 perak, dan 12 perunggu. Negeri Jiran menduduki posisi ke-13 klasemen medali Asian Games 2023.
Di posisi pertama, China unggul jauh dengan 116 emas, 70 perak, dan 36 perunggu. Posisi kedua ditempati Korea Selatan yang mengoleksi 30 emas, 32 perak, dan 56 perunggu.
Perbesar
Cek Berita dan Artikel yang lain di Google
                                News",Sport
01-10-2023,Setahun Tragedi Kanjuruhan: Menggugat Janji Usut Tuntas!,"Bisnis.com, SOLO - Kejadian paling kelam dalam sejarah sepak bola Indonesia terjadi tepat pada hari ini, setahun silam. Sebanyak 135 nyawa melayang dalam Tragedi Kanjuruhan di Kota Malang.
Insiden tragis terjadi pada 1 Oktober 2022, selepas laga Arema FC vs Persebaya Surabaya di Stadion Kanjuruhan, Kota Malang.
Arema FC yang takluk 2-3 dari rival abadinya tersebut memantik peristiwa mahadasyat yang menewaskan lebih dari 100 orang.
Kejadian bermula setelah peluit panjang berbunyi, suporter Arema FC mulai masuk ke dalam lapangan dan membuat petugas keamanan bersiap mengevakuasi para pemain kedua tim.
Situasi memanas ketika aparat kepolisian menembakkan gas air mata ke tribune penonton. Kaos tak bisa dielakkan.
Penonton yang mayoritas berisi suporter Arema FC--karena adanya larangan suporter Persebaya datang ke stadion--dilanda kepanikan.
Baca Juga
Riuhnya penonton yang berhamburan keluar stadion membuat akses terhambat. Ironis, pintu keluar stadion hanya dibuka beberapa saja.
Hal itu membuat massa menumpuk dan terjebak di pintu gerbang stadion. Petaka pun menyapa.
Ratusan penonton yang terjebak di gerbang yang tertutup tak bisa kembali karena akses jalan sudah tertutup oleh penonton lainnya.
Situasi yang terhimpit itu diperparah dengan asap gas air mata yang ditembakkan ke arah tribune. Banyak penonton bergelimpangan karena sesak napas.
Asap gas air mata juga membuat beberapa orang mengalami masalah pada pengelihatan, selain pernapasan yang sudah pasti terganggu.
Tak tanggung-tanggung, Tragedi Kanjuruhan langsung menjadi bencana paling mengerikan kedua di dunia, setelah tragedi di Peru pada 1964 yang menewaskan 318 orang.
Insiden besar ini memancing perhatian dari seluruh penjuru dunia, termasuk dari Presiden FIFA Gianni Infantino yang kemudian datang untuk menyampaikan ungkapan dukacita.
Cek Berita dan Artikel yang lain di Google
                                News",Sport
